Jaema C. Berman,Addison Township Public Library,1440 Rochester Road,,Leonard,MI,48367-3555,mpresley@tln.lib.mi.us,2486287180,http://addison.lib.mi.us/,"M,Tu,Th 10-8; W 10-6; F,Sa 10-4",6351,2,42.8212222,-83.1464413,5300,43%,7000,12300,1.94,0.37,2496,0.39,1560,4296,6864,1.08,624,2500,33184
Ms. Carol A. Souchock,Adrian Public Library,143 East Maumee Street,,Adrian,MI,49221-2703,adrianpubliclibrary@adrianmi.gov,5172652265,http://www.adrian.lib.mi.us,M 10-8; Tu 10-8; W 10-5:30; Th 10-8; F 10-5:30; Sa 10-3; Su Closed,21133,4,41.8983584,-84.0349489,28451,34%,55897,84348,3.99,0.81,6093,0.29,1005,3238,141185,6.68,28001,6191,104127
Ms. Jennifer J. Walters,Aitkin Memorial District Library,111 North Howard Avenue,,Croswell,MI,48422-1225,aitkinlibrary@sbcglobal.net,8106793627,http://www.croswell-library.com,M-Th 10-7; F 10-5; S 10-2,7410,3,43.2765544,-82.62131,10734,30%,24690,35424,4.78,0.94,3224,0.44,1652,1805,33966,4.58,14756,8563,37727
Ms. Eva N. Haller,Alanson Area Public Library,7631 Burr Avenue,,Alanson,MI,49706-0037,alanson@racc2000.com,2315485465,http://www.alansonlibrary.michlibrary.org,"M 12-6; Tu,W 10-6; Th 12-7; F 12-5",9471,4,45.4402872,-84.7899561,5243,27%,14517,19760,2.09,1.21,10,0,1985,3339,11000,1.16,6305,1012,16367
Ms. Karen A. Kuhn,Albion District Library,501 South Superior Street,,Albion,MI,49224-2137,director@albionlibrary.org,5176293993,http://www.albionlibrary.org,"M-Th 10-8; Sa,Su 1-5",11569,3,42.2417969,-84.7530246,16543,17%,82000,98543,8.52,1.5,6939,0.6,2258,2387,86502,7.48,23332,10931,65822
Ms. Carol M. Luck,Alcona County Library,312 West Main (M-72),P.O. Box 348,Harrisville,MI,48740-0348,director@alcona.lib.mi.us,9897246796,http://www.alcona.lib.mi.us/,M-Th 10-7; F 10-5; Sa 10-2,9706,3,44.6564376,-83.2988309,23689,38%,38570,62259,6.41,1.14,1110,0.11,9395,7684,62386,6.43,15816,4000,54560
Ms. Ann Perrigo,Allegan District Library,331 Hubbard Street,,Allegan,MI,49010-1258,aperrigo@alleganlibrary.org,2696734625,http://www.alleganlibrary.org,"M-Th 10-9; F,Sa 9-5:30",17401,4,42.5277187,-85.8513949,29707,39%,46196,75903,4.36,1.16,7384,0.42,226,1049,91626,5.27,28369,5127,65378
Mr. Robert M. Bristow,Allendale Township Library,6175 Library Lane,,Allendale,MI,49401-8820,allrb@llcoop.org,6168954178,http://www.allendalelibrary.org,"M,Th 9-9; Tu,W 1-9; F 9-5; Sa 11-5",28283,5,42.9722455,-85.9536535,79580,43%,107430,187010,6.61,3.33,5713,0.2,13541,12424,110912,3.92,7654,7592,56243
Mr. Bryan E. Dinwoody,Alma Public Library,351 North Court Street,,Alma,MI,48801-1999,ill@alma.lib.mi.us,9894633966,http://www.alma.lib.mi.us,"M,F 12-9; Tu-Th 9:30-9; Sa 9:30-5:30",12152,3,43.3781034,-84.6538004,21660,38%,34725,56385,4.64,0.68,20179,1.66,2,1645,100343,8.26,42548,16915,82822
Ms. Kay E. Hurd,Almont District Library,213 West Saint Clair Street,,Almont,MI,48003-0517,almontdistrictlibrary@adlmi.org,8107983100,http://www.adlmi.org/,M-Th 10-8; F 10-5; Sa 10-2,6583,2,42.9205166,-83.047491,21200,37%,36200,57400,8.72,1.68,8000,1.22,4200,5300,55000,8.35,7700,2847,34150
Mr. Eric M. Magness-Eubank,Alpena County Library,211 North First Avenue,,Alpena,MI,49707-2809,emeacl@alpenalibrary.org,9893566188,http://www.alpenalibrary.org,"M-Th 9:30-9; F,Sa 9:30-5; Su 1-5 (Memorial Day-Labor Day closed Su)",29598,5,45.0619491,-83.4310714,63474,23%,212041,275515,9.31,3.03,20275,0.69,19036,20234,158168,5.34,21767,11307,91030
Ms. Deborah L. Jones,Alvah N. Belding Memorial Library,302 East Main Street,,Belding,MI,48809-1799,bel@llcoop.org,6167941450,www.belding.michlibrary.org,Monday/Wednesday 9-8pm; Tuesday/Thursday/Saturday 9-1pm; Friday 9-5pm  Closed Saturdays during the summer (Memorial day - Labor day),11000,3,43.0978462,-85.2268185,18736,42%,25905,44641,4.06,0.81,2028,0.18,7740,5123,43933,3.99,8330,6824,55436
Ms. Josie B. Parker,Ann Arbor District Library,343 South Fifth Avenue,,Ann Arbor,MI,48104-2293,parkerj@aadl.org,7343274263,http://www.aadl.org,M 10-9; Tu-F 9-9; Sa 9-6; Su 12-6,163590,6,42.278198,-83.745971,2924302,33%,5865180,8789482,53.73,13.94,57041,0.35,38403,51299,1736693,10.62,270039,111546,630547
Ms. Margaret Smith,Armada Free Public Library,73930 Church Street,,Armada,MI,48005-3331,smithm@libcoop.net,5867845921,http://www.armadalib.org/,"M,Tu 12-8; W,Th 9-8; F 9-5; Sa 10-2",5379,2,42.842048,-82.882878,15991,35%,30027,46018,8.56,1.61,1046,0.19,3173,5631,25249,4.69,950,2588,28541
Rene Larson,Ashley District Library,104 New Street,P.O. Box 6,Ashley,MI,48806-0006,rsteffen@bearnet.net,9898474283,http://www.bearnet.net/Startpage/dlibrary/,"M,Tu 8-11,12-5; Th 12-5 (Summer Hours Tu,W 9-12,12:30-3; Th 1:30-7)",3248,1,43.1865955,-84.4738441,1036,62%,646,1682,0.52,0.22,2321,0.71,0,0,6601,2.03,5265,0,7632
Ms. Diane K. Garlets,Athens Community Library,106 East Burr Oak Street,P.O. Box 216,Athens,MI,49011-0216,athens_library@sbcglobal.net,2697294479,http://athenscl.michlibrary.org,"M 9-6Tu,Th 12-7; W,F 12-6; Sa 9-1",4537,2,42.0884146,-85.2354458,2165,35%,4085,6250,1.38,1.14,2994,0.66,0,0,6198,1.37,2532,837,5476
Ms. Stephanie N. McCoy,Auburn Hills Public Library,3400 East Seyburn Drive,,Auburn Hills,MI,48326-2759,smccoy@auburn-hills.lib.mi.us,2483709466,http://auburn-hills.lib.mi.us,"M-Th 9:30-9; F,Sa 9:30-5",21412,4,42.6723213,-83.2239195,104642,36%,185184,289826,13.54,4.04,18902,0.88,30871,19171,99281,4.64,36502,13658,71800
Ms. Linda A. Mony,Augusta-Ross Township District Library,105 South Webster Street,P.O. Box 215,Augusta,MI,49012-0308,mckayaugusta@hotmail.com,2697314000,http://mckaylibrary.org/,"M,Tu 9-5; W 10-7; Th,F 10-5; Sa 10-2",7172,3,42.3344693,-85.3517857,12644,46%,14641,27285,3.8,0.39,2051,0.29,0,0,29209,4.07,6026,3293,69586
Ms. Anita Mae O'Brien,Bacon Memorial District Library,45 Vinewood Street,,Wyandotte,MI,48192-5221,aobrien@baconlibrary.org,7342468357,http://www.baconlibrary.org,"M-Th 10-9; F,Sa 10-5 ",25883,4,42.207457,-83.14802,45217,28%,113972,159189,6.15,2.33,8891,0.34,37844,21310,137001,5.29,33750,12204,68246
Ms. Marion P. Herrington,Bad Axe District Library,200 South Hanselman Street,,Bad Axe,MI,48413-1479,mherrington@badaxelibrary.org,9892698538,http://www.badaxelibrary.org,M-F 12-9; Sa 1-5,6621,2,43.8010918,-82.9973928,19696,27%,53025,72721,10.98,1.89,2000,0.3,4158,2448,57786,8.73,15860,7241,38524
Mr. Douglas R. Koschik,Baldwin Public Library,300 West Merrill Street,,Birmingham,MI,48009,doug.koschik@baldwinlib.org,2486477339,http://www.baldwinlib.org,M-Th 9:30am-9:00pm; F-Sa 9:30am-5:30pm; Su noon-5:00pm,31481,5,42.5453661,-83.2175383,240890,33%,480490,721380,22.91,3.97,71084,2.26,5095,6298,325976,10.35,47820,33989,181920
Ms. Marcia L. Laughlin,Barryton Public Library,198 Northern Avenue,P.O. Box 215,Barryton,MI,49305-0215,info@barrytonlibrary.com,9893825288,http://www.barrytonlibrary.com/,Tu-F 9-6; Sa 9-1,3686,2,43.7500469,-85.1446871,4768,20%,18740,23508,6.38,1.1,990,0.27,147,711,17503,4.75,8728,1064,21371
Mr. Thomas H. Birch,Bay County Library System,500 Center Avenue,,Bay City,MI,48708,tbirch@baycountylibrary.org,9898942837,http://www.baycountylibrary.org,Admin Hours M-F 8-5,107681,6,43.5977959,-83.8857166,260310,31%,581813,842123,7.82,2.42,44801,0.42,90620,91276,420284,3.9,115841,81004,347813
"Mr. Kenneth B. Miller, Jr. ",Bayliss Public Library,541 Library Drive,,Sault Ste. Marie,MI,49783-2147,kmiller@baylisslibrary.org,9066329331,http://www.uproc.lib.mi.us/bpl,"Tu,Th 9-9; W,F 9-5:30; Sa 9-4",31037,5,46.4955332,-84.3483657,47339,33%,98021,145360,4.68,0.87,13842,0.45,6809,6631,110841,3.57,34233,14948,166676
Ms. Barbara J. Cruickshank,Beaver Island District Library,26400 Donegal Bay Road,,Beaver Island,MI,49782-0246,island.library@gmail.com,2314482701,,M-Sa 12-5,657,1,45.7464661,-85.523327,3213,21%,11927,15140,23.04,0.81,0,0,0,116,17242,26.24,4188,1139,18807
Ms. Linda C. Offenbecker,Bellaire Public Library,111 South Bridge Street,P.O. Box 477,Bellaire,MI,49615-0477,bellairelibrary@torchlake.com,2315338814,http://www.bellairelibrary.org,Tu-Th 10-6; F 10-5; Sa 10-2,3769,1,44.9745561,-85.2099389,7132,22%,25258,32390,8.59,1.25,750,0.2,384,630,36702,9.74,7458,1293,25954
Ms. Debra L. Green,Belleville Area District Library,167 Fourth Street,,Belleville,MI,48111-2609,dgreen@tln.lib.mi.us,7346993291,http://www.belleville.lib.mi.us,"M-Th 10-9; F,Sa 10-5",42361,5,42.207381,-83.49113,79092,36%,139274,218366,5.15,2.2,31481,0.74,16288,24071,122275,2.89,44371,17160,99078
Ms. Brenda L. Harrison,Bellevue Township Library,212 North Main Street,,Bellevue,MI,49021-1234,bellvu@monroe.lib.mi.us,2697633369,,M-F 1-6 (Jun 5-Sep 5 M-F 1-5),3150,1,42.4453393,-85.0181036,1377,15%,7768,9145,2.9,0.49,427,0.14,0,789,3543,1.12,3920,1602,18779
Mr. Frederick J. Kirby,Benton Harbor Public Library,213 East Wall Street,,Benton Harbor,MI,49022-4499,libraryfjk@yahoo.com,2699266139,http://www.bentonharborlibrary.com/,Monday-Friday 9-6; Saturday 9-3; Closed on Sundays,24787,4,42.1154709,-86.453535,49420,54%,41840,91260,3.68,0.83,32659,1.32,0,0,102800,4.15,20859,6451,109491
Ms. Cathy J. Carter,Benzie Shores District Library,630 Main Street,P.O. Box 631,Frankfort,MI,49635-0631,bsdl@benzieshoreslibrary.org,2313524671,http://www.benzieshoreslibrary.org,"M,W 10-8; Tu,Th,F 10-5; Sa 10-2",3615,1,44.6322857,-86.2346948,17291,29%,41835,59126,16.36,2.16,2200,0.61,996,2426,47820,13.23,38313,2263,27417
Ms. Marjorie Holland Porter,Benzonia Public Library,891 Michigan Avenue,,Benzonia,MI,49616,portermh@benzonia.lib.mi.us,2318824111,http://www.benzonia.lib.mi.us/,"M,W,F 11-5; Tu,Th 11-7; Sa 11-3",3623,1,44.6195406,-86.0992241,3776,19%,15830,19606,5.41,0.94,3284,0.91,3752,1624,15195,4.19,3648,2452,20884
Ms. Celia B. Morse,Berkley Public Library,City Of Berkley,3155 Coolidge Highway,Berkley,MI,48072-1631,cmorse@berkley.lib.mi.us,2486583440,http://berkley.lib.mi.us,M-W 10-8; Th-Sa 10-6 (Closed Sa in the Summer),14970,4,42.501028,-83.184082,56727,35%,104476,161203,10.77,1.7,14058,0.94,14058,10600,170000,11.36,32250,8081,94715
Ms. Kristina M. Knezic,Berrien Springs Community Library,215 West Union Street,,Berrien Springs,MI,49103-1077,bsclibrary@comcast.net,2694717074,http://bsclibrary.org/,M-Th 10-8; F 10-6; Sa 10-4,9197,3,41.9485707,-86.3410386,44969,32%,96961,141930,15.43,2.28,8340,0.91,281,2526,97288,10.58,18204,9017,62279
Ms. Sharon A. Baksic,Bessemer Public Library,411 South Sophie Street,,Bessemer,MI,49911-1596,baksics@chartermi.net,9066670404,http://www.uproc.lib.mi.us/Bessemer/,M-Th 10:30-6:30; F 1-5:30; Sa 10-12,3081,1,46.4779464,-90.0505155,5422,22%,18749,24171,7.85,0.9,623,0.2,15,12,11520,3.74,2663,1220,26915
Ms. Michelle A. Guerra,Betsie Valley District Library,14731 Thompson Avenue,,Thompsonville,MI,49683-0185,bvdlibrary@acegroup.cc,2313782716,http://www.betsievalleydistrictlibrary.org/,"Tu,Th 11-5; W 2-7; F 2-6; Sa 10-2",2937,1,44.5194357,-85.9442555,2527,30%,5779,8306,2.83,0.82,780,0.27,0,511,6933,2.36,2066,1416,10115
Ms. Helena J. Hayes,Big Rapids Community Library,426 South Michigan Avenue,,Big Rapids,MI,49307-2016,librarian@bigrapids.lib.mi.us,2317965234,http://www.bigrapids.lib.mi.us,Sunday Closed; Monday Closed; Tue 10a-8p; Wed 10a-8p; Thurs 10a-6p; Fri 8a-5p; Sat 10a-1p,20458,4,43.6934187,-85.4821101,20146,28%,52709,72855,3.56,1.2,15274,0.75,2908,2989,60388,2.95,6077,5156,60955
Ms. Elizabeth A. Gulick,Blair Memorial Library,416 North Main Street,,Clawson,MI,48017-1599,egulick@tln.lib.mi.us,2485885500,http://www.clawson.lib.mi.us,"M,W 12-8; Tu,Th  10-6; Sat 9:00-5 (Summer F 9:30-5:30; Sa Closed )",11825,3,42.5367244,-83.1464046,28510,33%,57020,85530,7.23,1.04,5000,0.42,5258,5611,74938,6.34,11518,5124,82496
